a.type,a.name,a.operator,a.expression
casgn,ABORTED,=,ABORTED = Object.new
casgn,ABSTRACT_RAILTIES,=,ABSTRACT_RAILTIES = %w(Rails::Railtie Rails::Engine Rails::Application)
casgn,ACCEPTABLE_ATTRIBUTES,=,ACCEPTABLE_ATTRIBUTES = Set.new %w[abbr accept accept-charset accesskey action
      align alt axis border cellpadding cellspacing char charoff charset
      checked cite class clear cols colspan color compact coords datetime
      dir disabled enctype for frame headers height href hreflang hspace id
      ismap label lang longdesc loop loopcount loopend loopstart
      maxlength media method multiple name nohref
      noshade nowrap poster preload prompt readonly rel rev rows rowspan rules scope
      selected shape size span src start style summary tabindex target title
      type usemap valign value vspace width xml:lang]
casgn,ACCEPTABLE_CSS_KEYWORDS,=,ACCEPTABLE_CSS_KEYWORDS = Set.new %w[auto aqua black block blue bold both bottom
      brown center collapse dashed dotted fuchsia gray green !important
      italic left lime maroon medium none navy normal nowrap olive pointer
      purple red right solid silver teal top transparent underline white
      yellow]
casgn,ACCEPTABLE_CSS_PROPERTIES,=,ACCEPTABLE_CSS_PROPERTIES = Set.new %w[azimuth background-color
      border-bottom-color border-collapse border-color border-left-color
      border-right-color border-top-color clear color cursor direction
      display elevation float font font-family font-size font-style
      font-variant font-weight height letter-spacing line-height overflow
      pause pause-after pause-before pitch pitch-range richness speak
      speak-header speak-numeral speak-punctuation speech-rate stress
      text-align text-decoration text-indent unicode-bidi vertical-align
      voice-family volume white-space width]
casgn,ACCEPTABLE_ELEMENTS,=,ACCEPTABLE_ELEMENTS = Set.new %w[a abbr acronym address area
      article aside audio b bdi bdo big blockquote br button canvas
      caption center cite code col colgroup command datalist dd del
      details dfn dir div dl dt em fieldset figcaption figure footer
      font form h1 h2 h3 h4 h5 h6 header hr i img input ins kbd label
      legend li map mark menu meter nav ol output optgroup option p
      pre q s samp section select small span strike strong sub summary
      sup table tbody td textarea tfoot th thead time tr tt u ul var
      video]
casgn,ACCEPTABLE_PROTOCOLS,=,ACCEPTABLE_PROTOCOLS = Set.new %w[ed2k ftp http https irc mailto news gopher nntp
      telnet webcal xmpp callto feed urn aim rsync tag ssh sftp rtsp afs]
casgn,ACCEPTABLE_SVG_PROPERTIES,=,ACCEPTABLE_SVG_PROPERTIES = Set.new %w[fill fill-opacity fill-rule stroke
      stroke-width stroke-linecap stroke-linejoin stroke-opacity]
casgn,ACTION_ATTR,=,ACTION_ATTR = ['action']
casgn,ACTUALLY_ELEMENTS,=,ACTUALLY_ELEMENTS = %w[after before first-line first-letter].to_set
casgn,AF_INET6,=,AF_INET6 = Object.new
casgn,ALIGN_ATTR,=,ALIGN_ATTR = ['align']
