def.name,def.file_path,def.first_line,count(condition)
initialize_pattern,/Users/brian/.rvm/rubies/ruby-2.2.3/lib/ruby/2.2.0/uri/rfc2396_parser.rb,342,85
validate,/Users/brian/.rvm/rubies/ruby-2.2.3/lib/ruby/2.2.0/rubygems/specification.rb,2453,65
perform_arguments,/Users/brian/.rvm/gems/ruby-2.2.3/gems/sass-3.4.20/lib/sass/tree/visitors/perform.rb,14,57
_next_token,/Users/brian/.rvm/gems/ruby-2.2.3/gems/nokogiri-1.6.7/lib/nokogiri/css/tokenizer.rb,55,56
parse,/Users/brian/.rvm/gems/ruby-2.2.3/gems/tzinfo-1.2.2/lib/tzinfo/zoneinfo_timezone_info.rb,95,55
pretty_print,/Users/brian/.rvm/rubies/ruby-2.2.3/lib/ruby/2.2.0/pp.rb,421,53
merge_final_ops,/Users/brian/.rvm/gems/ruby-2.2.3/gems/sass-3.4.20/lib/sass/selector/sequence.rb,342,52
call,/Users/brian/.rvm/gems/ruby-2.2.3/gems/sprockets-3.5.2/lib/sprockets/server.rb,22,48
convert_input,/Users/brian/.rvm/gems/ruby-2.2.3/gems/erubis-2.7.0/lib/erubis/converter.rb,127,43
visit_rule,/Users/brian/.rvm/gems/ruby-2.2.3/gems/sass-3.4.20/lib/sass/tree/visitors/to_css.rb,280,43
to_ruby,/Users/brian/.rvm/rubies/ruby-2.2.3/lib/ruby/2.2.0/rubygems/specification.rb,2294,42
distance_of_time_in_words,/Users/brian/.rvm/gems/ruby-2.2.3/gems/actionview-4.2.5/lib/action_view/helpers/date_helper.rb,71,40
_perform,/Users/brian/.rvm/gems/ruby-2.2.3/gems/sass-3.4.20/lib/sass/script/tree/operation.rb,63,39
validate_dependencies,/Users/brian/.rvm/rubies/ruby-2.2.3/lib/ruby/2.2.0/rubygems/specification.rb,2645,38
visit_function,/Users/brian/.rvm/gems/ruby-2.2.3/gems/nokogiri-1.6.7/lib/nokogiri/css/xpath_visitor.rb,4,38
delegate,/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/core_ext/module/delegation.rb,151,36
convert_input,/Users/brian/.rvm/gems/ruby-2.2.3/gems/erubis-2.7.0/lib/erubis/enhancer.rb,641,35
visit_directive,/Users/brian/.rvm/gems/ruby-2.2.3/gems/sass-3.4.20/lib/sass/tree/visitors/to_css.rb,176,35
construct_ruby_args,/Users/brian/.rvm/gems/ruby-2.2.3/gems/sass-3.4.20/lib/sass/script/tree/funcall.rb,184,34
visit_attribute_condition,/Users/brian/.rvm/gems/ruby-2.2.3/gems/nokogiri-1.6.7/lib/nokogiri/css/xpath_visitor.rb,75,34
superselector?,/Users/brian/.rvm/gems/ruby-2.2.3/gems/sass-3.4.20/lib/sass/selector/pseudo.rb,149,34
parse_tag,/Users/brian/.rvm/gems/ruby-2.2.3/gems/slim-3.0.6/lib/slim/parser.rb,316,32
convert_input,/Users/brian/.rvm/gems/ruby-2.2.3/gems/erubis-2.7.0/lib/erubis/converter.rb,231,30
reformat_argument_error,/Users/brian/.rvm/gems/ruby-2.2.3/gems/sass-3.4.20/lib/sass/script/tree/funcall.rb,255,29
compute_asset_host,/Users/brian/.rvm/gems/ruby-2.2.3/gems/actionview-4.2.5/lib/action_view/helpers/asset_url_helper.rb,202,28
irregular,/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/inflector/inflections.rb,128,28
try_declaration,/Users/brian/.rvm/gems/ruby-2.2.3/gems/sass-3.4.20/lib/sass/scss/parser.rb,738,27
to_json,/Users/brian/.rvm/gems/ruby-2.2.3/gems/sass-3.4.20/lib/sass/source/map.rb,89,26
parse_attributes,/Users/brian/.rvm/gems/ruby-2.2.3/gems/slim-3.0.6/lib/slim/parser.rb,394,26
simple_selector_sequence,/Users/brian/.rvm/gems/ruby-2.2.3/gems/sass-3.4.20/lib/sass/scss/static_parser.rb,151,26
handle_line,/Users/brian/.rvm/gems/ruby-2.2.3/gems/pry-0.10.3/lib/pry/pry_instance.rb,260,25
subweave,/Users/brian/.rvm/gems/ruby-2.2.3/gems/sass-3.4.20/lib/sass/selector/sequence.rb,258,25
initialize,/Users/brian/.rvm/gems/ruby-2.2.3/gems/slim-3.0.6/lib/slim/parser.rb,46,25
record_execution_trace,/Users/brian/github/neo4jrb/neolytics/lib/neolytics/recorder.rb,80,24
start_line_syntax_for_editor,/Users/brian/.rvm/gems/ruby-2.2.3/gems/pry-0.10.3/lib/pry/editor.rb,94,24
process_item,/Users/brian/.rvm/gems/ruby-2.2.3/gems/slop-3.6.0/lib/slop.rb,491,24
visit_mixin,/Users/brian/.rvm/gems/ruby-2.2.3/gems/sass-3.4.20/lib/sass/tree/visitors/convert.rb,196,24
initialize,/Users/brian/.rvm/rubies/ruby-2.2.3/lib/ruby/2.2.0/ipaddr.rb,467,24
normalize_params,/Users/brian/.rvm/gems/ruby-2.2.3/gems/rack-1.6.4/lib/rack/utils.rb,134,24
tabulate,/Users/brian/.rvm/gems/ruby-2.2.3/gems/sass-3.4.20/lib/sass/engine.rb,436,23
parse_line_indicators,/Users/brian/.rvm/gems/ruby-2.2.3/gems/slim-3.0.6/lib/slim/parser.rb,190,23
require,/Users/brian/.rvm/gems/ruby-2.2.3/gems/bundler-1.11.2/lib/bundler/runtime.rb,57,23
_perform,/Users/brian/.rvm/gems/ruby-2.2.3/gems/sass-3.4.20/lib/sass/script/tree/interpolation.rb,165,22
set_cookie_header!,/Users/brian/.rvm/gems/ruby-2.2.3/gems/rack-1.6.4/lib/rack/utils.rb,281,22
token,/Users/brian/.rvm/gems/ruby-2.2.3/gems/sass-3.4.20/lib/sass/script/lexer.rb,265,22
split,/Users/brian/.rvm/rubies/ruby-2.2.3/lib/ruby/2.2.0/uri/rfc2396_parser.rb,120,22
digest,/Users/brian/.rvm/gems/ruby-2.2.3/gems/sprockets-3.5.2/lib/sprockets/digest_utils.rb,45,22
resolve_parent_refs,/Users/brian/.rvm/gems/ruby-2.2.3/gems/sass-3.4.20/lib/sass/selector/simple_sequence.rb,88,22
find_real_file,/Users/brian/.rvm/gems/ruby-2.2.3/gems/sass-3.4.20/lib/sass/importers/filesystem.rb,141,22
content_type_parse,/Users/brian/.rvm/rubies/ruby-2.2.3/lib/ruby/2.2.0/open-uri.rb,491,22
