method,cyclomatic_complexity,executions,total_method_execution_time,percentage_of_total_time,average_execution_time
/Users/brian/.rvm/rubies/ruby-2.2.3/lib/ruby/2.2.0/set.rb:289 (Set#add),1,2343,19018,2.3644612203743005,8.116944088775075
/Users/brian/.rvm/gems/ruby-2.2.3/gems/pry-0.10.3/lib/pry/command.rb:27 (#<Class:Pry::Command>#match),4,810,8824,1.0970662429583988,10.893827160493828
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/inflector/methods.rb:91 (ActiveSupport::Inflector#underscore),6,237,7288,0.9060991362965559,30.751054852320674
/Users/brian/.rvm/gems/ruby-2.2.3/gems/pry-0.10.3/lib/pry/command.rb:177 (#<Class:Pry::Command>#command_regex),6,510,6131,0.7622521685831758,12.02156862745098
/Users/brian/.rvm/gems/ruby-2.2.3/gems/pry-0.10.3/lib/pry/command.rb:43 (#<Class:Pry::Command>#command_options),2,641,6111,0.759765617715183,9.533541341653667
/Users/brian/.rvm/gems/ruby-2.2.3/gems/pry-0.10.3/lib/pry/command.rb:185 (#<Class:Pry::Command>#convert_to_regex),1,1020,5683,0.7065534291401383,5.57156862745098
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/inflector/inflections.rb:203 (ActiveSupport::Inflector#inflections),1,238,4633,0.5760095085705191,19.46638655462185
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/dependencies/autoload.rb:35 (ActiveSupport::Autoload#autoload),4,233,3681,0.4576496872540646,15.798283261802576
/Users/brian/.rvm/gems/ruby-2.2.3/gems/sprockets-3.5.2/lib/sprockets/utils.rb:33 (Sprockets::Utils#hash_reassoc1),4,115,3467,0.43104359296654227,30.14782608695652
/Users/brian/.rvm/gems/ruby-2.2.3/gems/pry-0.10.3/lib/pry/command.rb:142 (#<Class:Pry::Command>#matches?),0,498,2245,0.27911533493218554,4.508032128514056
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/concern.rb:124 (ActiveSupport::Concern#included),3,120,1371,0.17045306200090263,11.425
/Users/brian/.rvm/gems/ruby-2.2.3/gems/thread_safe-0.3.5/lib/thread_safe/cache.rb:37 (ThreadSafe::Cache#[]),5,238,1314,0.1633663920271233,5.5210084033613445
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/core_ext/module/delegation.rb:151 (Module#delegate),36,43,1253,0.15578241187974542,29.13953488372093
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/concern.rb:111 (ActiveSupport::Concern#append_features),6,97,1206,0.14993901733996248,12.43298969072165
/Users/brian/.rvm/gems/ruby-2.2.3/gems/railties-4.2.5/lib/rails/initializable.rb:65 (Rails::Initializable::ClassMethods#initializers),0,162,1201,0.1493173796229643,7.41358024691358
/Users/brian/.rvm/gems/ruby-2.2.3/gems/temple-0.7.6/lib/temple/mixins/options.rb:19 (Temple::Mixins::ClassOptions#options),5,157,1181,0.14683082875497155,7.522292993630574
/Users/brian/.rvm/gems/ruby-2.2.3/gems/pry-0.10.3/lib/pry/command_set.rb:341 (Pry::CommandSet#[]=),6,48,1057,0.13141421337341655,22.020833333333332
/Users/brian/.rvm/gems/ruby-2.2.3/gems/sprockets-3.5.2/lib/sprockets/utils.rb:16 (Sprockets::Utils#duplicable?),1,230,988,0.12283561287884157,4.2956521739130435
/Users/brian/.rvm/gems/ruby-2.2.3/gems/pry-0.10.3/lib/pry/command.rb:37 (#<Class:Pry::Command>#description),2,152,825,0.1025702233047007,5.427631578947368
/Users/brian/.rvm/gems/ruby-2.2.3/gems/thread_safe-0.3.5/lib/thread_safe/non_concurrent_cache_backend.rb:11 (ThreadSafe::NonConcurrentCacheBackend#[]),0,238,695,0.08640764266274786,2.9201680672268906
/Users/brian/.rvm/rubies/ruby-2.2.3/lib/ruby/2.2.0/forwardable.rb:179 (Forwardable#def_instance_delegator),5,54,670,0.08329945407775693,12.407407407407407
/Users/brian/.rvm/gems/ruby-2.2.3/gems/railties-4.2.5/lib/rails/railtie.rb:214 (Rails::Railtie#config),0,64,627,0.07795336971157253,9.796875
/Users/brian/.rvm/gems/ruby-2.2.3/gems/sprockets-3.5.2/lib/sprockets/mime.rb:46 (Sprockets::Mime#register_mime_type),7,27,583,0.07248295780198849,21.59259259259259
/Users/brian/.rvm/gems/ruby-2.2.3/gems/sprockets-3.5.2/lib/sprockets/utils.rb:59 (Sprockets::Utils#hash_reassoc),1,115,582,0.07235863025858885,5.060869565217391
/Users/brian/.rvm/gems/ruby-2.2.3/gems/pry-0.10.3/lib/pry/command.rb:129 (#<Class:Pry::Command>#subclass),1,21,572,0.07111535482459248,27.238095238095237
/Users/brian/.rvm/gems/ruby-2.2.3/gems/railties-4.2.5/lib/rails/railtie/configuration.rb:89 (Rails::Railtie::Configuration#method_missing),2,49,557,0.06925044167359794,11.36734693877551
/Users/brian/.rvm/gems/ruby-2.2.3/gems/pry-0.10.3/lib/pry/command.rb:53 (#<Class:Pry::Command>#banner),3,48,554,0.06887745904339902,11.541666666666666
/Users/brian/.rvm/gems/ruby-2.2.3/gems/temple-0.7.6/lib/temple/mixins/options.rb:26 (Temple::Mixins::ClassOptions#define_options),3,74,546,0.06788283869620192,7.378378378378378
/Users/brian/.rvm/gems/ruby-2.2.3/gems/temple-0.7.6/lib/temple/map.rb:56 (Temple::OptionMap#initialize),1,42,496,0.06166646152622006,11.80952380952381
/Users/brian/.rvm/gems/ruby-2.2.3/gems/thor-0.19.1/lib/thor/base.rb:583 (Thor::Base::ClassMethods#method_added),6,39,482,0.05992587591862514,12.35897435897436
/Users/brian/.rvm/rubies/ruby-2.2.3/lib/ruby/2.2.0/ipaddr.rb:467 (IPAddr#initialize),24,8,443,0.05507710172603928,55.375
/Users/brian/.rvm/rubies/ruby-2.2.3/lib/ruby/2.2.0/set.rb:80 (Set#initialize),3,46,438,0.054455464009041096,9.521739130434783
/Users/brian/.rvm/rubies/ruby-2.2.3/lib/ruby/2.2.0/set.rb:371 (Set#merge),2,54,428,0.05321218857504473,7.925925925925926
/Users/brian/.rvm/gems/ruby-2.2.3/gems/railties-4.2.5/lib/rails/initializable.rb:82 (Rails::Initializable::ClassMethods#initializer),4,49,392,0.048736397012657785,8
/Users/brian/.rvm/rubies/ruby-2.2.3/lib/ruby/2.2.0/uri/rfc2396_parser.rb:342 (URI::RFC2396_Parser#initialize_pattern),85,1,387,0.0481147592956596,387
/Users/brian/.rvm/gems/ruby-2.2.3/gems/sprockets-3.5.2/lib/sprockets/configuration.rb:25 (Sprockets::Configuration#config=),2,101,384,0.047741776665460686,3.801980198019802
/Users/brian/.rvm/gems/ruby-2.2.3/gems/temple-0.7.6/lib/temple/mixins/engine_dsl.rb:107 (Temple::Mixins::EngineDSL#chain_element),16,19,383,0.047617449122061055,20.157894736842106
/Users/brian/.rvm/gems/ruby-2.2.3/gems/pry-0.10.3/lib/pry/command.rb:85 (#<Class:Pry::Command>#default_options),2,73,360,0.044757915623869396,4.931506849315069
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/core_ext/module/aliasing.rb:23 (Module#alias_method_chain),11,14,357,0.04438493299367049,25.5
/Users/brian/.rvm/gems/ruby-2.2.3/gems/actionpack-4.2.5/lib/action_dispatch/http/mime_type.rb:162 (#<Class:Mime::Type>#register),4,23,357,0.04438493299367049,15.521739130434783
/Users/brian/.rvm/gems/ruby-2.2.3/gems/pry-0.10.3/lib/pry/command.rb:519 (#<Class:Pry::ClassCommand>#inherited),1,51,353,0.043887622820071935,6.921568627450981
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/core_ext/array/extract_options.rb:22 (Array#extract_options!),2,77,347,0.04314165755967411,4.5064935064935066
/Users/brian/.rvm/gems/ruby-2.2.3/gems/pry-0.10.3/lib/pry/command.rb:198 (#<Class:Pry::Command>#group),7,60,345,0.04289300247287484,5.75
/Users/brian/.rvm/gems/ruby-2.2.3/gems/tilt-2.0.1/lib/tilt/mapping.rb:79 (Tilt::Mapping#register_lazy),4,30,327,0.04065510669168137,10.9
/Users/brian/.rvm/gems/ruby-2.2.3/gems/railties-4.2.5/lib/rails.rb:59 (#<Class:Rails>#env),2,3,324,0.040282124061482454,108
/Users/brian/.rvm/gems/ruby-2.2.3/gems/temple-0.7.6/lib/temple/map.rb:11 (Temple::ImmutableMap#include?),0,145,320,0.03978481388788391,2.206896551724138
/Users/brian/.rvm/gems/ruby-2.2.3/gems/sprockets-3.5.2/lib/sprockets/utils.rb:113 (Sprockets::Utils#normalize_extension),3,46,320,0.03978481388788391,6.956521739130435
/Users/brian/.rvm/gems/ruby-2.2.3/gems/railties-4.2.5/lib/rails/initializable.rb:12 (Rails::Initializable::Initializer#initialize),1,49,319,0.03966048634448427,6.510204081632653
/Users/brian/.rvm/gems/ruby-2.2.3/gems/pry-0.10.3/lib/pry/command_set.rb:205 (Pry::CommandSet#alias_command),4,12,297,0.036925280389692255,24.75
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/ordered_options.rb:29 (ActiveSupport::OrderedOptions#method_missing),2,37,292,0.036303642672694064,7.891891891891892
/Users/brian/.rvm/gems/ruby-2.2.3/gems/neo4j-6.0.1/lib/neo4j/shared/type_converters.rb:104 (#<Class:Neo4j::Shared::TypeConverters::BooleanConverter>#db_type),0,1,290,0.036054987585894795,290
/Users/brian/.rvm/gems/ruby-2.2.3/gems/i18n-0.7.0/lib/i18n.rb:17 (#<Module:0x007ffc348e7460>#config),0,3,290,0.036054987585894795,96.66666666666667
/Users/brian/.rvm/rubies/ruby-2.2.3/lib/ruby/2.2.0/set.rb:92 (Set#do_with_enum),4,45,284,0.03530902232549697,6.311111111111111
/Users/brian/.rvm/gems/ruby-2.2.3/gems/slim-3.0.6/lib/slim/embedded.rb:74 (#<Class:Slim::Embedded>#register),3,20,261,0.03244948882730531,13.05
/Users/brian/.rvm/gems/ruby-2.2.3/gems/thor-0.19.1/lib/thor/parser/argument.rb:8 (Thor::Argument#initialize),11,6,250,0.031081885849909303,41.666666666666664
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/inflector/inflections.rb:115 (ActiveSupport::Inflector::Inflections#singular),2,39,249,0.030957558306509668,6.384615384615385
/Users/brian/.rvm/gems/ruby-2.2.3/gems/temple-0.7.6/lib/temple/map.rb:95 (Temple::OptionMap#deprecated_key?),2,111,244,0.030335920589511484,2.1981981981981984
/Users/brian/.rvm/gems/ruby-2.2.3/gems/temple-0.7.6/lib/temple/map.rb:24 (Temple::ImmutableMap#keys),0,113,242,0.030087265502712204,2.1415929203539825
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/inflector/inflections.rb:128 (ActiveSupport::Inflector::Inflections#irregular),28,6,232,0.028843990068715835,38.666666666666664
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/dependencies/autoload.rb:48 (ActiveSupport::Autoload#autoload_under),1,5,224,0.02784936972151874,44.8
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/dependencies/autoload.rb:62 (ActiveSupport::Autoload#eager_autoload),1,8,217,0.026979076917721275,27.125
/Users/brian/.rvm/rubies/ruby-2.2.3/lib/ruby/2.2.0/ipaddr.rb:411 (IPAddr#mask!),19,5,209,0.02598445657052418,41.8
/Users/brian/.rvm/gems/ruby-2.2.3/gems/concurrent-ruby-1.0.0/lib/concurrent/synchronization/mri_lockable_object.rb:34 (Concurrent::Synchronization::MriMutexLockableObject#synchronize),1,19,206,0.025611473940325265,10.842105263157896
/Users/brian/.rvm/gems/ruby-2.2.3/gems/execjs-2.6.0/lib/execjs/external_runtime.rb:92 (ExecJS::ExternalRuntime#initialize),4,4,204,0.02536281885352599,51
/Users/brian/.rvm/gems/ruby-2.2.3/gems/temple-0.7.6/lib/temple/map.rb:78 (Temple::OptionMap#add_valid_keys),0,86,196,0.024368198506328893,2.2790697674418605
/Users/brian/.rvm/rubies/ruby-2.2.3/lib/ruby/2.2.0/set.rb:281 (Set#each),2,27,180,0.022378957811934698,6.666666666666667
/Users/brian/.rvm/gems/ruby-2.2.3/gems/railties-4.2.5/lib/rails/railtie.rb:170 (#<Class:Rails::Railtie>#instance),0,66,178,0.02213030272513542,2.696969696969697
/Users/brian/.rvm/gems/ruby-2.2.3/gems/temple-0.7.6/lib/temple/map.rb:90 (Temple::OptionMap#validate_key!),3,40,178,0.02213030272513542,4.45
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/core_ext/module/attribute_accessors.rb:53 (Module#mattr_reader),14,33,173,0.021508665008137237,5.242424242424242
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/core_ext/module/attribute_accessors.rb:207 (Module#mattr_accessor),1,30,172,0.0213843374647376,5.733333333333333
/Users/brian/.rvm/gems/ruby-2.2.3/gems/slop-3.6.0/lib/slop/option.rb:33 (Slop::Option#initialize),7,1,167,0.020762699747739415,167
/Users/brian/.rvm/gems/ruby-2.2.3/gems/concurrent-ruby-1.0.0/lib/concurrent/synchronization/mri_lockable_object.rb:26 (Concurrent::Synchronization::MriMutexLockableObject#initialize),1,17,167,0.020762699747739415,9.823529411764707
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/inflector/inflections.rb:105 (ActiveSupport::Inflector::Inflections#plural),2,33,167,0.020762699747739415,5.0606060606060606
/Users/brian/.rvm/rubies/ruby-2.2.3/lib/ruby/2.2.0/set.rb:104 (Set#initialize_dup),1,37,158,0.019643751857142677,4.27027027027027
/Users/brian/.rvm/gems/ruby-2.2.3/gems/temple-0.7.6/lib/temple/map.rb:86 (Temple::OptionMap#validate_map!),0,16,147,0.01827614887974667,9.1875
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/core_ext/module/attribute_accessors.rb:119 (Module#mattr_writer),14,30,147,0.01827614887974667,4.9
/Users/brian/.rvm/gems/ruby-2.2.3/gems/actionpack-4.2.5/lib/action_dispatch/http/mime_type.rb:228 (Mime::Type#initialize),1,24,146,0.018151821336347032,6.083333333333333
