line,method,return_value
/Users/brian/.rvm/gems/ruby-2.2.3/gems/railties-4.2.5/lib/rails/ruby_version_check.rb:1,String#<=>,1 (Fixnum)
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/core_ext/module/attribute_accessors.rb:56,Symbol#=~,0 (Fixnum)
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/core_ext/module/attribute_accessors.rb:122,Symbol#=~,0 (Fixnum)
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/deprecation/proxy_wrappers.rb:13,Symbol#=~,0 (Fixnum)
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/deprecation/proxy_wrappers.rb:13,Symbol#=~,0 (Fixnum)
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/deprecation/proxy_wrappers.rb:13,Symbol#=~,0 (Fixnum)
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/core_ext/module/delegation.rb:171,String#to_i,19 (Fixnum)
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/core_ext/module/delegation.rb:171,String#to_i,19 (Fixnum)
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/core_ext/module/delegation.rb:179,Symbol#=~,4 (Fixnum)
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/core_ext/module/delegation.rb:171,String#to_i,19 (Fixnum)
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/core_ext/module/delegation.rb:171,String#to_i,19 (Fixnum)
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/core_ext/module/delegation.rb:179,Symbol#=~,7 (Fixnum)
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/core_ext/module/delegation.rb:171,String#to_i,19 (Fixnum)
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/core_ext/module/delegation.rb:171,String#to_i,19 (Fixnum)
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/core_ext/module/delegation.rb:179,Symbol#=~,7 (Fixnum)
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/core_ext/module/delegation.rb:171,String#to_i,19 (Fixnum)
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/core_ext/module/delegation.rb:171,String#to_i,19 (Fixnum)
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/core_ext/module/delegation.rb:179,Symbol#=~,7 (Fixnum)
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/core_ext/module/delegation.rb:171,String#to_i,19 (Fixnum)
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/core_ext/module/delegation.rb:171,String#to_i,19 (Fixnum)
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/core_ext/module/delegation.rb:171,String#to_i,19 (Fixnum)
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/core_ext/module/delegation.rb:171,String#to_i,19 (Fixnum)
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/core_ext/module/delegation.rb:171,String#to_i,19 (Fixnum)
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/core_ext/module/delegation.rb:171,String#to_i,19 (Fixnum)
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/core_ext/module/delegation.rb:179,Symbol#=~,18 (Fixnum)
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/core_ext/module/delegation.rb:171,String#to_i,19 (Fixnum)
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/core_ext/object/duplicable.rb:85,BigDecimal#initialize,"#<BigDecimal:7ffc345e62e8,'0.0',9(9)> (BigDecimal)"
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/core_ext/object/duplicable.rb:85,Class#new,"#<BigDecimal:7ffc345e62e8,'0.0',9(9)> (BigDecimal)"
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/core_ext/object/duplicable.rb:85,BigDecimal#initialize_copy,"#<BigDecimal:7ffc33c89ba0,'0.0',9(9)> (BigDecimal)"
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/core_ext/object/duplicable.rb:85,Kernel#initialize_dup,"#<BigDecimal:7ffc33c89ba0,'0.0',9(9)> (BigDecimal)"
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/core_ext/object/duplicable.rb:85,Kernel#dup,"#<BigDecimal:7ffc33c89ba0,'0.0',9(9)> (BigDecimal)"
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/core_ext/module/delegation.rb:171,String#to_i,84 (Fixnum)
