line,method,sum,count,average
/Users/brian/.rvm/gems/ruby-2.2.3/gems/railties-4.2.5/lib/rails/generators/named_base.rb:2,Kernel#require,55422,2,27711
/Users/brian/.rvm/gems/ruby-2.2.3/gems/rack-1.6.4/lib/rack/utils.rb:5,Kernel#require,27433,2,13716.5
/Users/brian/.rvm/rubies/ruby-2.2.3/lib/ruby/2.2.0/set.rb:292,Set#add,19018,2343,8.116944088775075
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/core_ext/module/delegation.rb:214,Module#module_eval,17404,160,108.775
/Users/brian/.rvm/gems/ruby-2.2.3/gems/pry-0.10.3/lib/pry/commands.rb:5,Kernel#require,16623,104,159.83653846153845
/Users/brian/.rvm/rubies/ruby-2.2.3/lib/ruby/2.2.0/set.rb:283,Hash#each_key,15520,54,287.4074074074074
/Users/brian/.rvm/rubies/ruby-2.2.3/lib/ruby/2.2.0/forwardable.rb:192,Module#module_eval,11143,108,103.17592592592592
/Users/brian/.rvm/gems/ruby-2.2.3/gems/pry-0.10.3/lib/pry/command.rb:34,#<Class:Pry::Command>#match,8824,810,10.893827160493828
/Users/brian/.rvm/gems/ruby-2.2.3/gems/sprockets-rails-2.3.3/lib/sprockets/railtie.rb:6,Kernel#require,8672,2,4336
/Users/brian/.rvm/rubies/ruby-2.2.3/lib/ruby/2.2.0/set.rb:94,Array#each,8640,90,96
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/inflector/methods.rb:100,ActiveSupport::Inflector#underscore,7288,237,30.751054852320674
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activemodel-4.2.5/lib/active_model/validations.rb:404,Kernel#require,6561,26,252.34615384615384
/Users/brian/.rvm/gems/ruby-2.2.3/gems/sass-3.4.20/lib/sass/script/value/color.rb:23,Range#each,6495,298,21.79530201342282
/Users/brian/.rvm/gems/ruby-2.2.3/gems/pry-0.10.3/lib/pry/command.rb:183,#<Class:Pry::Command>#command_regex,6131,510,12.02156862745098
/Users/brian/.rvm/gems/ruby-2.2.3/gems/pry-0.10.3/lib/pry/command.rb:47,#<Class:Pry::Command>#command_options,6111,641,9.533541341653667
/Users/brian/.rvm/gems/ruby-2.2.3/gems/pry-0.10.3/lib/pry/command.rb:192,#<Class:Pry::Command>#convert_to_regex,5683,1020,5.57156862745098
/Users/brian/.rvm/gems/ruby-2.2.3/gems/neo4j-6.0.1/lib/neo4j.rb:47,Kernel#require,5516,2,2758
/Users/brian/.rvm/gems/ruby-2.2.3/gems/sass-3.4.20/lib/sass/script.rb:1,Kernel#require,5350,2,2675
/Users/brian/.rvm/gems/ruby-2.2.3/gems/actionview-4.2.5/lib/action_view/helpers/form_helper.rb:1321,Module#class_eval,5178,34,152.2941176470588
/Users/brian/.rvm/gems/ruby-2.2.3/gems/bundler-1.11.2/lib/bundler/runtime.rb:77,#<Class:Kernel>#require,4845,30,161.5
/Users/brian/.rvm/gems/ruby-2.2.3/gems/nokogiri-1.6.7/lib/nokogiri/html/element_description_defaults.rb:650,Array#each,4676,2,2338
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/inflector/inflections.rb:209,ActiveSupport::Inflector#inflections,4633,238,19.46638655462185
/Users/brian/.rvm/gems/ruby-2.2.3/gems/neo4j-6.0.1/lib/neo4j.rb:38,Kernel#require,4486,2,2243
/Users/brian/.rvm/gems/ruby-2.2.3/gems/sass-3.4.20/lib/sass/script.rb:34,Kernel#require,4464,2,2232
/Users/brian/.rvm/gems/ruby-2.2.3/gems/sass-3.4.20/lib/sass/tree/node.rb:35,BasicObject#instance_eval,4387,54,81.24074074074075
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/core_ext/module/attribute_accessors.rb:57,Module#class_eval,4263,66,64.5909090909091
/Users/brian/.rvm/gems/ruby-2.2.3/gems/pry-0.10.3/lib/pry/command_set.rb:318,Array#select,4040,24,168.33333333333334
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/dependencies/autoload.rb:46,ActiveSupport::Autoload#autoload,3681,233,15.798283261802576
/Users/brian/.rvm/gems/ruby-2.2.3/gems/sprockets-3.5.2/lib/sprockets/utils.rb:41,Sprockets::Utils#hash_reassoc1,3467,115,30.14782608695652
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/core_ext/string/output_safety.rb:231,Module#class_eval,3212,38,84.52631578947368
/Users/brian/.rvm/gems/ruby-2.2.3/gems/neo4j-6.0.1/lib/neo4j.rb:51,Kernel#require,3087,2,1543.5
/Users/brian/.rvm/gems/ruby-2.2.3/gems/neo4j-6.0.1/lib/neo4j.rb:82,Kernel#require,2914,2,1457
/Users/brian/.rvm/gems/ruby-2.2.3/gems/temple-0.7.6/lib/temple/mixins/engine_dsl.rb:55,Module#const_get,2849,18,158.27777777777777
